source_hackathon,month,project_tech,tPrimary,tRuby,TJava,TC#,TPython,TPhp,TJavascript,project_type,project_category,project_views,project_longd,project_name,comment_2,comment_1,project_description
Angelhack-Manila,8, CodeIgniter Cluster point Clusterpoint database,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Professional Services,35,,Real Job,,,Real Job in Realtime
Angelhack-Manila,8, Ruby on Rails Android CSS HTML Javascript,Ruby,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Android,Social Media,36,,Farmr,,https://github.com/gerardvcruz/farmr,Farmr connects farmers to buyers and helps them manage inventory
Angelhack-Manila,8, CodeIgniter Semantic-UI bluemix Node-red,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Medical,29,,SeizeTheDay! (STD),,,Revolutionize your reproductive health information and examination.
Angelhack-Manila,8, Java Android AngularJS Spring Boot,Java,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Android,Consumer,39,"expresv is a creative playground for millenials and subject matter experts to collaborate on simple and effective solutions for each other's real life and day-to-day problems, building a better world, one solution at a time",expresv,,,Help. And get help.
Angelhack-Manila,8, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,28,"We believe that great experience matters... a lot. There is a lot of elegant and friendly pre-event (ticketing) and post-event (feedback) solutions to make events organisation as painless as possible. However, the same is not true for in-event solutions. There are still a lot of problems/pains that are not addressed in the actual event. While others focus on the before and after of an event, we fill the gap in between.",Pinpoint,,,Crafting in-event experience
Angelhack-Manila,8, node.js Express.js Google Maps API bluemix Clusterpoint database Bootstrap,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,39,"Park'd not only provides a way for you to find places you can park in, it even shows you how filled those parkings are.",Park'd,,,Find yourself a parking slot when you need it the most
Angelhack-Manila,8, Java PHP Android Amazon AWS html/css Bootstrap XAMPP Javascript,Javascript,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Android,Consumer,27,"Tired of spending too much time on integrating Ads, Tracking, Analytics and In-App-Purchases integration? No Worries! Coz Wrap It App! is here to SAVE THE DAY! Wrap It App! is a web application that integrates the SDKs you need into your mobile app with just one click of a button and no additional coding effort at all. User needs to upload the app he wishes to integrate SDK services to. SDK services to integrate can be chosen by the user via Wrap It App!'s dashboard.",Wrap It App!,,"Saves you money, time & effort in developing your apps! :D",Integrate SDKs into App w/ ONE CLICK
Angelhack-Manila,8, ASP.NET C# MySQL QrCode Windows Azure,C#,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,IOS,Consumer,29,,Nomnom.ph,,,Fast Food Even Faster
Angelhack-Manila,8, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Professional Services,32,Uber for handymen,Skilld,,Web version repository: https://github.com/kristianguevara/skilld iOS version repository: https://github.com/jedt/skilld-ios,Jobs on Demand
Angelhack-Manila,8, PHP PostgreSQL Laravel Chikka API Azure IBM Bluemix,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Web App,Consumer,27,"An online parking reservation, payment and management system",Parking Manager,,,parking reservation made easy
Angelhack-Manila,8, PHP Laravel AngularJS telegram Javascript,Javascript,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Web App,Consumer,31,"Romeo is an emoji-loving personal assistant who suggests activities based on your location, budget, and other preferences. Whether you're looking for activities with your partner, your family or just plan to go solo, he sure knows the best activities around!",Romeo,,,Your Personal Fun Planner
Angelhack-Manila,8, Laravel,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Web App,Social Media,19,,Enjoin,,,App that connects people through their interest
Angelhack-Manila,8, Angular npm iOS App Bootsrap Clusterpoint database,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IOS,Consumer,30,"Find, reserve, bid a parking slot!",ParkMe,,,"Find, reserve, bid a parking slot!"
Angelhack-Manila,8, Laravel Chikka API Google Map API,PHP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Medical,34,"Espesyalista helps the user in locating the nearest clinics, check the clinic services and book for an appointment online.",Espesyalista,,,Easiest way of booking to clinics
Angelhack-Manila,8, Ruby on Rails Android PostgreSQL Chikka API,Ruby,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Android,Social Media,30,Mobile app where you can subscribe to different channels and be notified if there is a latest update.,Notify.me,,,Subscribe and be notified.
Angelhack-Manila,8, CakePHP Android Chikka API bluemix cloudant,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Android,Medical,22,For Nurses who needs a more efficient way to speedup and drastically reduce time for their patient handover (endorsement) process during the start and end of their shift.,Tickler,,,Speedup patient handover process
Angelhack-SiliconValley,7, Diffbot API Express.js nodejs SparkPost Cluster point linode hosting,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,8,"Chrome extension that allows you to get notified whenever the product page you use Spookii on shifts in price and/or stock (sold out, back in stock).",Spookii,"Great chrome extension, although will lead to email clutter (will need to see how many people use it due to this). Product is simple and lean.",The Chrome plugin was a nice touch,Email notifications for inventory/price changes
Angelhack-SiliconValley,7, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,35,"Snap nutrition facts to keep your nutrition in check, then compare it to the recommended amount for your age, weight, height and gender.",foodloggr,How do I join?,"Fitness market is huge right now, and a solution to lower input may do well. User Interface needs a lot of work.",Let your phone read nutrition facts for you!
Angelhack-SiliconValley,7, Python,Python,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Web App,Consumer,11,"With SpeakEZ, you can speak a foreign language using sounds you already know. Many languages contain sounds that are difficult to pronounce for non-native speakers. However, many of these sounds can actually be found in a speaker's native tongue in obscure places. SpeakEZ uses these words to generate phrases in a foreign language in yor own voice.",SpeakEZ,"There are quite a few translation products on the market and although this narrows down into syllables, it may not have enough product-market fit to scale.","I just couldn't figure out what exactly you did, or what technologies were used, in a space that has a lot of entrants (e.g. Skype now does translations on the fly).",Foreign languages in your own voice
Angelhack-SiliconValley,7, Java Android SparkPost Cluster point,Java,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Android,Cars,15,Detailed analytics with multiple parameters for your automobile,AutoLytics,,Is the improvement that it's voice controlled? Because BMW already has this feature on the dashboard.,Analytics for your Automobile
Angelhack-SiliconValley,7, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,11,This mobile application allows visually impaired users to scan through real world text-based articles for an audio summarization of its content,Between the lines,Very much needed product! too bad you guys didn't have enough time to present the whole potential! Good luck,"Would have been good to spend more time on the demo. Great app, with fantastic value proposition for the visually impaired. Needed to spend more time on the business model.",Fast reading for visually impaired people
Angelhack-SiliconValley,7, PHP MySQL javascirpt Frontend - HTML/CSS/Bootstrap,Java,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Web App,Consumer,12,"Is your Facebook feed cluttered with ads? Are those ads driving you crazy? Have no fear! Meow Blocker is here! We remove all of your Facebook ads and replace them with fun and cute cat gifs and photos! Never look at an annoying facebook ad again, with Meow blocker!",Meow Blocker,Project completed!,https://chrome.google.com/webstore/detail/meow-blocker-pro/kdlkombhlmkeckighifillnhllnhplkj,Because Catz!
Angelhack-SiliconValley,7, Foursquare SINCH iOS SparkPost HP Idol-on-demand Cluster point yelp,C#,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,IOS,E-commerce,14,"You *love* food, and so there are tons of apps to find restaurants and reserve tables, but there's no app to find that one dish *you* crave. If you do decide on something, you have to wait for a table and order, which can take an hour. Introducing SnapQue, the app that allows you to search restaurant menus for the dish of your dreams, reserve a table, order food, and then after confirming the notification that your table and food is ready, you walk in, enjoy, and walk out.",SnapQue,Good luck! I liked your execution a lot.,Love the app concept. Nice touch with the queue for popular restaurants. Good positioning against Yelp.,Cravings Discoverer; Restaurant Booking & Ordering
Angelhack-SiliconValley,7, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,3,Cross-cultural communication; English Teaching; Chinese teaching; open real-time chat platform.,Code Pengyou,,,Translation/Real-time Communication
Angelhack-SiliconValley,7, Game Maker Language Ruby Frontend - HTML/CSS/Bootstrap,Ruby,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Social Media,15,"The public's appetite for a proper platformer is insatiable -- and in a world of social gaming, the only way to keep the public's attention is to have a game that can never truly be ""solved!"" Wintermute's evolutionarily-generated levels can be generated and shared among players, taking what is ordinarily a solo activity and challenging your friends to get in on the fun, replaying the same level you just died on!",Wintermute,Cool game!,Cool game! Good luck! I liked your execution a lot,Social Sci-fi Roguelike Platformer Game
Angelhack-SiliconValley,7, Swift IBT BlueMix,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,IOS,E-commerce,22,"Using MapKit + IBM BlueMix, the team created an IOS app w/ Swift that allowed bikers to discover the nearest bike racks, as well as nearby trails. Drop pins to track where you left your bike.",Cycle,Great app. Business model missing.,super cool. Nothing crazy technical and not a start up. Just a great and useful hackathon project,Discover bike racks and trails nearby.
Angelhack-SiliconValley,7, Cluster point,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Consumer,9,Some random stuff,Random App,,this is well done and well thought out. To actually just have something to demo with an ambitious concept video game is amazing.,HP Sentiment API
Angelhack-SiliconValley,7, HavenAPI,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Consumer,5,"idolOne help users to pickup idoleOne from video,voice,news,email/message...automatically and sentimentally smart,then publish into multimedia device or 3D-printer with ads.",idolOne,,,"pickup idoleOne from video,voice,news,email/messenge..."
Angelhack-SiliconValley,7, Python node.js HTML5 Express.js jQuery Amazon EC2 CSS (SASS and LESS) Bootstrap Amazon Lambda Amazon S3 chart.js heatmap.js,Javascript,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Web App,Consumer,25,What is the general sentiment on a particular topic in real-time? We developed a proof of concept application that shows the general public sentiment towards some presidential candidates from Twitter. We are able to do this real-time at a cost effective rate.,TwoCense,Good luck! I liked your execution a lot. There's a lot of potential in your future product.,"i actually like the demo. The problem is being solved be many, many firms, but I love that you built this in a weekend. That's what hackathons are about!",The internet provides its two cents.
Angelhack-SiliconValley,7, SINCH SparkPost Respoke API mean stack iOS App,C#,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,IOS,E-commerce,35,SwiftSell person to person e-commerce platform focused on increasing safety and security for buyers and sellers using real time communication. Sellers will be able to publish products being sold directly to Facebook groups and Craigslist from the app. We provide a higher level of security and safety for our buyers using real time video chat provided by the Respoke API. Using real time video to verify what you are purchasing increases security while lowering the probability of fraud. No longer will buyers be skeptical of meeting someone in a public place not knowing if what they are purchasing is functional and as advertised. Link: http://swiftsell.herokuapp.com/,SwiftSell,Sounds like a safer version of Craigslist with users going to a Police Station to collect items.,"seems like a gap in the market. As a regular Airbnb host, I like this style of communication. This has a wide potential application.",A P2P e-commerce platform focused on increasing safety & security
Angelhack-SiliconValley,7, nodejs HP Idol-ondemand Bootsrap HP Sprout,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Medical,13,RheumaLab provides a comprehensive platform for monitoring rheumatoid arthritis patients,RheumaLab,Good luck! I liked your execution a lot.,Lots of potential for home monitoring of a major condition.,Sprout Imaging for Precision Medicine
Angelhack-SiliconValley,7, D3.js Python Flask Bootstrap SCSS,Javascript,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Web App,Consumer,17,Our goal is to decrease the number of noncommunicable diseases by providing an application that helps consumers track back the food they are about to purchase. github.com-,Appollo,"Missing demo with no working app shown, Would have been nice to see the app actually working, rather than being told what we are supposed to see.",Good luck! the product is very much needed!,Food transparency application
Angelhack-SiliconValley,7, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Medical,21,Bridging the gap between inventory and patient needs.,M3DICAL,,,3D Solution for Hospitals
Angelhack-SiliconValley,7, node.js Express.js facebook api Chrome extensions Cluster point linode hosting,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Social Media,16,"Integrated Social Browsing - browse with your friends, expand ""trust boundaries"" when visiting new sites. Item[product, article, place] specific feedback to consumers Provide Feedback to business analysts with additional site rating,",Commenty,Would love to know a bit more how it will promote it.,Simple design. Path to revenue might be tough to raise awareness and gain traction.,Social Browsing with Page Rating and Comments and more
Money2020,10, Bitcoin IBM Bluemix NodeJS Ethereum,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Finance,16,"By using the power of a Digital Autonomous Corporation with the ethereum and bitcoin blockchains, we've been able to bring P2P lending into the modern era. Incredibly secure, much reduced fees, and no ""minimum investment"" barriers to entry. With this, we're hoping to bring P2P lending to everyone's doorstep. With minimum investments of a dollar or less, this can expand the market for P2P lenders to almost anyone. Try trading stocks with a one dollar! Built on the IBM Bluemix platform with Cloud Foundry, and powered by the decentralized bitcoin and ethereum networks.",Femto Finance,,,The Next Evolution of P2P Lending
Money2020,10, MongoDB Javascript Meteor Ethereum,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,6,$48 billion in Reward and Mileage points are accumulated in the U.S. alone. Of this $16 billion goes unused. EtherRewards aims at targeting this market so users can make use of these points to trade for other tokens or commodities. Companies can create their own tokens and contracts onto the ethereum blockchain and have users use them with no restriction and in a complete decentralized manner. Note - This project is in early private alpha stage.,EtherRewards,,,Decentralized Reward Points on Ethereum
Money2020,10, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Finance,26,"If you're in a spot when you need cash and don't want to search around for an ATM just to pay gross ATM fees, use FlashCash to have your cash delivered to your location right as you need it. iOS: http://github.com/flashcash Android version: https://github.com/madhavc/FlashCash-Android Web API: https://github.com/mujtaba3B/flash_cash",Flash Cash,,"submitted at 10:30, took over an hour to upload to github on our terribly slow hotel internet connection, so timestamp may be just past 11 am.","Request cash anytime, anywhere."
Money2020,10, Ruby Ruby on Rails CSS MySQL fitbit api Javascript HTML5 Java Meteor Vantiv Fitbit,Ruby,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Medical,24,"We used FitBitÉ??s and VantivÉ??s technologies to further engage participants, increase participation rates, donations, and transaction numbers; thereby creating value for all stakeholdersÉ??participants, the NYC Marathon, charitable organizations, FitBit, and Vantiv.",FitPay,,,Engaging athletes through FinTech and FitBit
Money2020,10, jQuery Apache Bootstrap IBM Bluemix Javascript GNU/Linux Ethereum JSON PHP,Javascript,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Web App,Consumer,15,"Almost everyone has plans for their money -- if they have more money than they expect at the end of the month, they might make an extra student loan payment, or maybe add some money to their investment accounts. There's no way to do that in conventional financial applications, so we created one.",ThenPayIt,,,Workflows for your money
Money2020,10, CSS3 iBeacon iOS HTML5 Java worldpay,Java,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,IOS,E-commerce,40,,XoomThru,,You guys did us proud! I'd love to give some exposure to your work to the rest of the company execs. I'm working to set that up now.,Seamless and Insightful payment solution for Drive thrus
Money2020,10, Ruby Ruby on Rails Blockchain xCode iOS Bitcoin Objective-C Blockchain API,Ruby,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,IOS,Finance,26,"No card, cash or phone on you? No problem. You can pay with your finger thanks to a fingerprint sensor on the merchant's POS device. Top up your finger with bitcoin at any location that accepts Nix",Nix,,,Pay bitcoin with your finger
Money2020,10, CodeIgniter jQuery Modo API AWS Elastic Beanstalk,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,E-commerce,11,"We have created a É??play to payÉ?ù app that gamifies the payment experience. In true Vegas fashion, we encourage users to play roulette for the chance to win free meals or merchandise.",High Steaks,,,payments roulette
Money2020,10, Android JavaScript VisaCheckout,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Android,Finance,5,Go enabled merchants let their customers checkout where they choose. Send the checkout to your phone or friends using an ultrasonic tone or numeric code.,Go,,,Checkout where you choose
Money2020,10, Firebase iOS App Javascript NodeJS,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IOS,Social Media,17,"User will post there opinion question, to which answer is either Yes or No. Other user will bid on the opnion within 24hrs window, upon completion of 24 hrs wining answer will get credit of their bid which 0.0035 bitcoins plus the redistribution of losing answer. we charge 2% for everybid placed.",gambit,,,Social gambling with bitcoins
Money2020,10, Windows Mobile Twilio API Parse iOS Android Blockchain API,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Android,Finance,8,"Buy bitcoins with carrier billing, pay users by phone and manage your wallet using text messages.",BitZen,,,Aquire and use Bitcoin with Text Messages
Money2020,10, Firebase Ionic Framework Express.js Modo API ModoAPI,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Finance,6,"Request shoppers nearby to pick up items for me in exchange for a small fee. Shoppers will be able to see available shopping bags in store, purchase with gift card and deliver to requested user.",Do Me a Solid,,,Crowd Fulfillment Transactions Platform
Money2020,10, PayPal Parse Swift iOS cocoapods,C#,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,IOS,Consumer,12,An iOS app that crowdsources your shopping experience with buyers and sellers you can trust.,SalePool,,,Your neighborhood is your shopping mall
Money2020,10, nodejs worldpay,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Finance,12,"Servd is a responsive web application that manages the interactions between the customer and waiter to simplify communication and payment using the WorldPay API. The application has two separate views, one for the waiter and one for the customer. Using the application, restaurant waiters can manage lines, assign customers to table, and view alerts such as a customer requesting help or a customer payment. Customers on the other hand can use the application to send a request if they need help, pay for the meal, and rate their server. Ultimately, the restaurant business is a service focused, industry where customer-employee interaction is key to satisfying both parties, and this interaction is what we are improving.",Servd,,,Seamless and Secure Restaurant Transactions
Money2020,10, JavaScript GitHub API Blockchain API,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Social Media,14,"We leverage the Blockchain.info API to allow online communities to create bounty ""pools"" to be awarded for specific tasks, such as completing GitHub issues for open source projects.",BountyBit,"I am unable to join via the site, but I am the chris.clayman on this team :)","I am Niall.OKane, I am having difficulty joining this team with this account",Blockchain based community-driven bounties.
Money2020,10, node.js PayPal api Android javascript,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Android,Consumer,15,"Problem: Difficulty faced by visuially impaired people to make debit transactions at POS without saying out the card PIN to the cashier as the POS systems provide no accessibility to them. None of the current cash transaction apps provide accessiblilty to the visually impaired population. Inspite of niche products such as Apple pay, android pay, touch ID there is still a huge gap when it comes to reality. Not many people could afford smartphones with touchID sensors Aim: Provide a user friendly, hassle-free & secure way of carrying out debit transactions at POS. Enable the visually impaired population to enjoy to advantages of the mobile payment or digital wallet services. Solution A minimalistic mobile app that seamlessly provides the functionality of a digital wallet to the visually impaired. An intuitive app that uses voice commands and braille pattern (on the phone covers) on the phone screen as the input. Providing a system that maintains a wallet for the merchant and the user. Each user would be identified via a cellphone number.",VieasyPay,,,Accessible mobile wallet to the visually challenged
Money2020,10, Raspberry Pi Python Vantiv Java,Python,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Web App,Finance,13,"PayPi is a digital transaction system for Raspberry Pi that aims to simplify and reduce operating costs for small businesses, as well as providing data for advertisements and analytics.",PayPi,,Back-End Developer,Digital Transaction System for Raspberry Pi
Money2020,10, Ionic Framework Hybrid Mobile App,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Consumer,9,A mobile app that help people without cars do grocery shopping efficiently and easily.,BringMe,,,Grocery shopping without cars
Money2020,10, Meteor.js MongoDB Javascript,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,E-commerce,11,"Wander is an app where sellers can set up shop anywhere and be discovered by buyers who are nearby. A seller can prepare a virtual shop, go to a location and activate his shop so it is discoverable. Buyers can look around to see what virtual shops are available nearby, buy from the shop and collect their item from the seller who is just a few blocks away.",Wander,,,Location-based Shopping Discovery App
Money2020,10, Parse,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Consumer,6,"A radically minimalist approach to offering work to digital creatives, especially those in previously inaccessible regions of the world, with immediate feedback and cryptographically secure payouts.",Monkey Business,,,Distributed Micro-contracts and IP Auctions
Money2020,10, Android Parse iOS App Javascript Node.js Java,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Android,Consumer,8,"Using your phone and bluetooth beacons, we are revolutionizing the way people pay for parking. No longer do you have to visit the machine or fiddle with loose change. PARKnGO automates parking fare payment.",PARKnGO,,Had fun working on this :).,Simply PARK and GO!
Money2020,10, Haskell Blockchain Blockchain API,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Finance,14,"By writing programs in JBTCT (Jafar Bitcoin Trader), the embedded domain specific language we developed for Bitcoin algorithmic trading, users can create their own algorithms, backtest them on historical data, and analyze their performance. Also Haskell Blockchain API extension. https://github.com/djeik/blockchain-conduit",Jafar,,,Bitcoin Algorithmic Trader and Backtester
Money2020,10, Heroku Ionic Framework Angular Python Flask Bitcoin Blockchain API,Python,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Web App,Finance,55,"No more, no less - pay as you read on a per page basis. Explore, read, and pay from anywhere in the world from the comfort of your iPhone. Browse a variety of authors, genres, topics, and more É?? prices per page are totally customizable and set per book by each author. All payments are handled on a real-time, page-by-page basis, using cutting edge blockchain technology É?? simply fund your accountÉ??s bitcoin wallet and automatically pay as you read from anywhere on the globe.",Pagey,,,Pay for what you read
